SessionTime,Lap,LapDist,LapDistPct,Speed,Yaw,YawNorth,VelocityX,VelocityY,VelocityZ,YawRate,SteeringWheelAngle,LatAccel,IsOnTrack
972.666666157,1.000000000,4192.387695312,0.653681993,53.320446014,1.001530647,0.018938065,53.317516327,0.558926463,-0.410817266,-0.151717827,0.000000000,-12.165476799,1.000000000
972.683332824,1.000000000,4193.274902344,0.653820276,53.255886078,1.000422239,0.020046473,53.253860474,0.464358419,-0.387811303,0.003119067,0.000000000,-6.992737770,1.000000000
972.699999491,1.000000000,4194.161132812,0.653958499,53.209873199,1.001077533,0.019391179,53.208812714,0.336313814,-0.359223545,0.064579353,0.000000000,-6.183106422,1.000000000
972.716666157,1.000000000,4195.046386719,0.654096484,53.153305054,1.002331138,0.018137574,53.153137207,0.133499131,-0.345576465,0.074918479,0.000000000,-8.951558113,1.000000000
972.733332824,1.000000000,4195.930175781,0.654234290,53.105602264,1.003308773,0.017159939,53.105583191,-0.044587065,-0.297005296,0.038999893,0.000000000,-5.480288029,1.000000000
972.749999491,1.000000000,4196.812988281,0.654371977,53.053081512,1.004197717,0.016270995,53.052703857,-0.200851083,-0.265000463,-0.055409424,-3.049460173,-12.538366318,1.000000000
972.766666157,1.000000000,4197.694824219,0.654509485,52.962043762,1.000454783,0.020013928,52.961620331,-0.212031633,-0.253681183,-0.413701236,-9.424779892,-12.419845581,1.000000000
972.783332824,1.000000000,4198.574707031,0.654646635,52.866954803,0.992404878,0.028063834,52.866916656,-0.063377947,-0.233689234,-0.537167728,-9.424778938,-20.020370483,1.000000000
972.799999491,1.000000000,4199.452636719,0.654783547,52.780124664,0.983285666,0.037183046,52.780063629,0.080766395,-0.314148277,-0.538006783,-9.424778938,-19.242040634,1.000000000
972.816666157,1.000000000,4200.329101562,0.654920220,52.713508606,0.974966288,0.045502424,52.713027954,0.225014776,-0.413003266,-0.458203614,-9.424778938,-15.940674782,1.000000000
972.833332824,1.000000000,4201.204101562,0.655056655,52.641811371,0.967722476,0.052746236,52.640777588,0.329817742,-0.448432565,-0.422233015,-9.424778938,-16.448892593,1.000000000
972.849999491,1.000000000,4202.077636719,0.655192852,52.553478241,0.960608840,0.059859872,52.551944733,0.401818544,-0.418319374,-0.442497522,-9.424778938,-19.515237808,1.000000000
972.866666157,1.000000000,4202.948730469,0.655328631,52.448558807,0.952903688,0.067565024,52.446659088,0.446365595,-0.371550739,-0.482047617,-9.424778938,-23.344673157,1.000000000
972.883332824,1.000000000,4203.817871094,0.655464172,52.340587616,0.944708347,0.075760365,52.338504791,0.466826349,-0.321751893,-0.499191403,-9.424778938,-25.301698685,1.000000000
972.899999491,1.000000000,4204.685058594,0.655599415,52.237579346,0.936390579,0.084078133,52.235450745,0.471591502,-0.306507051,-0.491273195,-9.424778938,-26.188556671,1.000000000
